FECHA,HORA,MODALIDAD,CANT_FALLECIDOS,CANT_HERIDOS,LATITUD,LONGITUD,DEPARTAMENTO,PROVINCIA,DISTRITO
2020-01-01,23:40:00,CHOQUE,0,0,-15.45674,-74.866607,AREQUIPA,CARAVELI,LOMAS
2020-01-01,07:45:00,DESPISTE,0,1,-10.824119,-76.199915,PASCO,PASCO,VICCO
2020-01-01,06:20:00,CHOQUE,0,2,-9.531989,-77.53193,ANCASH,HUARAZ,HUARAZ
2020-01-01,02:30:00,DESPISTE,0,2,-5.903333,-78.161667,AMAZONAS,UTCUBAMBA,JAMALCA
2020-01-02,00:40:00,CHOQUE,2,6,-10.201361,-78.050778,ANCASH,HUARMEY,HUARMEY
2020-01-02,12:00:00,DESPISTE,0,3,-12.019944,-76.873889,LIMA,LIMA,ATE
2020-01-02,12:50:00,DESPISTE,2,16,-17.075787,-71.739615,AREQUIPA,ISLAY,COCACHACRA
2020-01-02,00:40:00,CHOQUE,0,1,-11.8134506,-76.35518288,LIMA,HUAROCHIRI,MATUCANA
2020-01-02,16:00:00,CHOQUE,4,3,-16.012389,-71.282278,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI
2020-01-02,23:50:00,DESPISTE,3,41,-14.329417,-69.466444,PUNO,SANDIA,SANDIA
2020-01-02,11:00:00,ESPECIAL,0,0,-16.4067623,-71.601155,AREQUIPA,AREQUIPA,CERRO COLORADO
2020-01-02,13:00:00,CHOQUE,0,3,-11.589461,-76.064664,JUNIN,YAULI,MOROCOCHA
2020-01-02,11:15:00,DESPISTE,0,1,-12.714,-76.628,LIMA,CAÑETE,MALA
2020-01-02,16:30:00,CHOQUE,0,3,-16.447877,-71.698479,AREQUIPA,AREQUIPA,UCHUMAYO
2020-01-03,11:29:00,CHOQUE,0,0,-11.602411,-76.124274,JUNIN,YAULI,MOROCOCHA
2020-01-03,01:00:00,DESPISTE,0,0,-13.358104,-74.752054,AYACUCHO,CANGALLO,PARAS
2020-01-03,02:25:00,CHOQUE,0,4,-12.63525,-76.669833,LIMA,CAÑETE,SAN ANTONIO
2020-01-03,06:50:00,CHOQUE,0,1,-15.681516,-70.548966,PUNO,LAMPA,SANTA LUCIA
2020-01-03,23:45:00,CHOQUE,0,1,-11.307937,-77.487709,LIMA,HUAURA,HUACHO
2020-01-03,23:30:00,DESPISTE,0,1,-14.274049,-71.572915,CUSCO,CHUMBIVILCAS,LIVITACA
